,ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Shipment Mode,PQ_Sent_Date,PO_Sent_Date,Scheduled Delivery Date,Delivered_Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage Form,Unit of Measure (Per Pack),Quantity,Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Insurance_USD,Freight_Cost_USD,Weight_KG,Year,Delivery_Delay_Days,On_Time_Flag,Delay_Category,Procurement_Lead_Time,Freight_Pct_Value,Freight_Per_KG,Quarter,Year_Quarter,Cost_Per_Unit
0,1,100-CI-T01,,SCMS-4,ASN-8,Côte d'Ivoire,PMO - US,Direct Drop,Air,,,2006-06-02,2006-06-02,2006-06-02,HRDT,HIV test,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests","HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,Test kit,30,19,551.0,29.0,0.97,Ranbaxy Fine Chemicals LTD,Yes,0.8815158457426497,780.34,13.0,2006,0.0,1,On Time,,141.6225045372051,60.026153846153846,2,2006Q2,29.0
1,3,108-VN-T01,,SCMS-13,ASN-85,Vietnam,PMO - US,Direct Drop,Air,,,2006-11-14,2006-11-14,2006-11-14,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,Oral suspension,240,1000,6200.0,6.2,0.03,"Aurobindo Unit III, India",Yes,9.919053073692249,4521.5,358.0,2006,0.0,1,On Time,,72.9274193548387,12.629888268156424,4,2006Q4,6.2
2,4,100-CI-T01,,SCMS-20,ASN-14,Côte d'Ivoire,PMO - US,Direct Drop,Air,,,2006-08-27,2006-08-27,2006-08-27,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,500,40000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,63.993890798014505,1653.78,171.0,2006,0.0,1,On Time,,4.13445,9.671228070175438,3,2006Q3,80.0
3,15,108-VN-T01,,SCMS-78,ASN-50,Vietnam,PMO - US,Direct Drop,Air,,,2006-09-01,2006-09-01,2006-09-01,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,Tablet,60,31920,127360.8,3.99,0.07,"Ranbaxy, Paonta Shahib, India",Yes,203.75782817869415,16007.06,1855.0,2006,0.0,1,On Time,,12.568278465587527,8.629142857142856,3,2006Q3,3.99
4,16,108-VN-T01,,SCMS-81,ASN-55,Vietnam,PMO - US,Direct Drop,Air,,,2006-08-11,2006-08-11,2006-08-11,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,Capsule,60,38000,121600.0,3.2,0.05,"Aurobindo Unit III, India",Yes,194.54142802596408,45450.08,7590.0,2006,0.0,1,On Time,,37.37671052631579,5.988152832674572,3,2006Q3,3.2
5,23,112-NG-T01,,SCMS-87,ASN-57,Nigeria,PMO - US,Direct Drop,Air,,,2006-09-28,2006-09-28,2006-09-28,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,Oral solution,240,416,2225.6,5.35,0.02,"Aurobindo Unit III, India",Yes,3.5606200840015267,5920.42,504.0,2006,0.0,1,On Time,,266.0145578720345,11.74686507936508,3,2006Q3,5.35
6,44,110-ZM-T01,,SCMS-139,ASN-130,Zambia,PMO - US,Direct Drop,Air,,,2007-01-08,2007-01-08,2007-01-08,ARV,Pediatric,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",Efavirenz,Stocrin/Sustiva,Capsule,90,135,4374.0,32.4,0.36,MSD South Granville Australia,Yes,6.997731958762886,,328.0,2007,0.0,1,On Time,,,,1,2007Q1,32.4
7,45,109-TZ-T01,,SCMS-140,ASN-94,Tanzania,PMO - US,Direct Drop,Air,,,2006-11-24,2006-11-24,2006-11-24,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,Tablet,60,16667,60834.55,3.65,0.06,"Aurobindo Unit III, India",Yes,97.32598873615883,6212.41,1478.0,2006,0.0,1,On Time,,10.211976582386159,4.203254397834912,4,2006Q4,3.6500000000000004
8,46,112-NG-T01,,SCMS-156,ASN-93,Nigeria,PMO - US,Direct Drop,Air,,,2006-12-07,2006-12-07,2006-12-07,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,Capsule,60,273,532.35,1.95,0.03,"Aurobindo Unit III, India",No,0.8516786941580755,4861.14,479.0,2006,0.0,1,On Time,,913.1473654550578,10.148517745302716,4,2006Q4,1.9500000000000002
9,47,110-ZM-T01,,SCMS-165,ASN-199,Zambia,PMO - US,Direct Drop,Air,,2006-11-13,2007-01-30,2007-01-30,2007-01-30,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,Tablet,120,2800,115080.0,41.1,0.34,ABBVIE (Abbott) St. P'burg USA,Yes,184.11042382588772,,643.0,2007,0.0,1,On Time,,,,1,2007Q1,41.1
10,60,110-ZM-T01,,SCMS-221,ASN-223,Zambia,PMO - US,Direct Drop,Air,,2006-12-01,2007-02-16,2007-02-16,2007-02-16,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,Tablet,120,2800,115080.0,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,184.11042382588772,,643.0,2007,0.0,1,On Time,,,,1,2007Q1,41.1
11,61,110-ZM-T01,,SCMS-226,ASN-137,Zambia,PMO - US,Direct Drop,Air,,,2007-01-08,2007-01-08,2007-01-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,Test kit,20,2500,100000.0,40.0,2.0,"Trinity Biotech, Plc",Yes,159.98472699503625,13569.49,853.0,2007,0.0,1,On Time,,13.56949,15.907960140679952,1,2007Q1,40.0
12,62,102-NG-T01,,SCMS-230,ASN-144,Nigeria,PMO - US,Direct Drop,Air,,,2007-01-10,2007-01-10,2007-01-10,HRDT,HIV test,EY Laboratories,"HIV 1/2, InstantChek HIV 1+2 Kit, 100 Tests","HIV 1/2, InstantChek HIV 1+2 Kit",InstantCHEK,Test kit,100,10,850.0,85.0,0.85,"EY Laboratories, USA",Yes,1.359870179457808,,,2007,0.0,1,On Time,,,,1,2007Q1,85.0
13,64,107-RW-T01,,SCMS-268,ASN-242,Rwanda,PMO - US,Direct Drop,Air,,2006-12-22,2007-02-27,2007-02-27,2007-02-27,ARV,Adult,CIPLA LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,Tablet - FDC,60,10000,99800.0,9.98,0.17,"Cipla, Goa, India",Yes,159.66475754104619,64179.42,7416.0,2007,0.0,1,On Time,,64.30803607214429,8.65418284789644,1,2007Q1,9.98
14,65,106-HT-T01,,SCMS-274,ASN-162,Haiti,PMO - US,Direct Drop,Air,,,2007-01-18,2007-01-18,2007-01-18,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,750,60000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,95.99083619702175,1760.32,256.0,2007,0.0,1,On Time,,2.9338666666666664,6.87625,1,2007Q1,80.0
15,68,113-ZW-T01,,SCMS-308,ASN-285,Zimbabwe,PMO - US,Direct Drop,Air,,2007-01-10,2007-03-19,2007-03-19,2007-03-19,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",Didanosine,Videx,Tablet,60,579,14764.5,25.5,0.42,"BMS Meymac, France",Yes,23.620945017182127,,,2007,0.0,1,On Time,,,,1,2007Q1,25.5
16,11096,100-BW-T01,,SO-425,DN-91,Botswana,PMO - US,From RDC,Truck,,,2007-04-27,2007-04-27,2007-04-27,HRDT,HIV test,SCMS from RDC,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,100,8000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,12.7987781596029,695.23,32.0,2007,0.0,1,On Time,,8.690375,21.7259375,2,2007Q2,80.0
17,80,107-RW-T01,,SCMS-488,ASN-299,Rwanda,PMO - US,Direct Drop,Air,,,2007-03-29,2007-03-29,2007-03-29,HRDT,HIV test,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests","HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",First Response,Test kit,30,2000,33000.0,16.5,0.55,Premier Med. Corp Ltd. India,Yes,52.79495990836197,3120.7,710.0,2007,0.0,1,On Time,,9.456666666666665,4.395352112676056,1,2007Q1,16.5
